排名,中文名,英文名,标签,地址,行业,分数,办学层次,Logo
354,四川轻化工大学,Sichuan University of Science and Engineering,,四川,理工,126.0,,https://www.shanghairanking.cn/_uni/logo/68372773.png
355,长春大学,Changchun University,,吉林,综合,125.1,,https://www.shanghairanking.cn/_uni/logo/29057599.png
356,长春工程学院,Changchun Institute of Technology,,吉林,理工,124.8,,https://www.shanghairanking.cn/_uni/logo/68422924.png
356,无锡学院,"Nanjing University of Information Science and Technology, Binjiang College",,江苏,综合,124.8,,https://www.shanghairanking.cn/_uni/logo-jpg/7955219400.jpg
358,安徽科技学院,Anhui Science and Technology University,,安徽,师范,124.4,,https://www.shanghairanking.cn/_uni/logo/87128194.png
359,金陵科技学院,Jinling Institute of Technology,,江苏,理工,124.1,,https://www.shanghairanking.cn/_uni/logo/85525495.png
360,岭南师范学院,LingNan Normal University,,广东,师范,123.9,,https://www.shanghairanking.cn/_uni/logo/81393131.png
361,惠州学院,Huizhou University,,广东,综合,123.8,,https://www.shanghairanking.cn/_uni/logo/84940619.png
362,西藏农牧学院,Tibet Agriculture and Animal Husbandry University,,西藏,农业,123.5,,https://www.shanghairanking.cn/_uni/logo/15190480.png
363,衢州学院,Quzhou University,,浙江,理工,123.2,,https://www.shanghairanking.cn/_uni/logo/72411383.png
364,铜仁学院,Tongren University,,贵州,综合,123.1,,https://www.shanghairanking.cn/_uni/logo/70662162.png
365,湖北第二师范学院,Hubei University of Education,,湖北,师范,122.9,,https://www.shanghairanking.cn/_uni/logo/71638925.png
365,齐齐哈尔大学,Qiqihar University,,黑龙江,综合,122.9,,https://www.shanghairanking.cn/_uni/logo/19030311.png
367,合肥师范学院,Hefei Normal University,,安徽,师范,122.7,,https://www.shanghairanking.cn/_uni/logo/15187571.png
368,绵阳师范学院,Mianyang Teachers' College,,四川,师范,122.5,,https://www.shanghairanking.cn/_uni/logo/85507824.png
369,广西科技大学,Guangxi University of Science and Technology,,广西,理工,122.0,,https://www.shanghairanking.cn/_uni/logo/70589857.png
370,攀枝花学院,Panzhihua University,,四川,综合,121.7,,https://www.shanghairanking.cn/_uni/logo/39118190.png
371,榆林学院,Yulin University,,陕西,师范,121.2,,https://www.shanghairanking.cn/_uni/logo/85924739.png
372,内江师范学院,Neijiang Normal University,,四川,师范,121.1,,https://www.shanghairanking.cn/_uni/logo/39821454.png
373,湖北汽车工业学院,Hubei University of Automotive Technology,,湖北,理工,121.0,,https://www.shanghairanking.cn/_uni/logo/90773167.png
373,山东航空学院,Shandong University of Aeronautics,,山东,理工,121.0,,https://www.shanghairanking.cn/_uni/logo/52267041.png
375,泰山学院,Taishan University,,山东,综合,120.8,,https://www.shanghairanking.cn/_uni/logo/71264540.png
376,湖北文理学院,Hubei University of Arts and Science,,湖北,综合,120.7,,https://www.shanghairanking.cn/_uni/logo/54746261.png
376,三明学院,Sanming University,,福建,综合,120.7,,https://www.shanghairanking.cn/_uni/logo-jpg/8062462800.jpg
378,重庆三峡学院,Chongqing Three Gorges University,,重庆,综合,120.6,,https://www.shanghairanking.cn/_uni/logo/16478778.png
379,丽水学院,Lishui University,,浙江,师范,120.5,,https://www.shanghairanking.cn/_uni/logo/40081109.png
380,潍坊学院,Weifang University,,山东,综合,120.2,,https://www.shanghairanking.cn/_uni/logo/88223218.png
381,泉州师范学院,Quanzhou Normal University,,福建,师范,120.1,,https://www.shanghairanking.cn/_uni/logo/43122253.png
382,黑龙江科技大学,Heilongjiang University of Science and Technology,,黑龙江,理工,119.8,,https://www.shanghairanking.cn/_uni/logo/65166425.png
383,防灾科技学院,Institute of Disaster Prevention,,河北,理工,119.6,,https://www.shanghairanking.cn/_uni/logo/20951986.png
384,西安文理学院,Xi'an University,,陕西,师范,119.5,,https://www.shanghairanking.cn/_uni/logo/14139441.png
385,湖北科技学院,Hubei University of Science and Technology,,湖北,综合,119.1,,https://www.shanghairanking.cn/_uni/logo/48475987.png
386,宝鸡文理学院,Baoji University of Arts and Sciences,,陕西,师范,118.5,,https://www.shanghairanking.cn/_uni/logo/99370840.png
386,龙岩学院,Longyan University,,福建,综合,118.5,,https://www.shanghairanking.cn/_uni/logo/37500595.png
386,南阳师范学院,Nanyang Normal University,,河南,师范,118.5,,https://www.shanghairanking.cn/_uni/logo/81579397.png
